"code","rate"
"AED",3.672354
"AFN",63.55
"ALL",125.1572
"AMD",485.259999
"ANG",1.7884
"AOA",125.895
"ARS",9.3301
"AUD",1.422649
"AWG",1.793333
"AZN",1.050613
"BAM",1.749803
"BBD",2
"BDT",77.80911
"BGN",1.749804
"BHD",0.377215
"BIF",1550.695
"BMD",1
"BND",1.419443
"BOB",6.902631
"BRL",3.814298
"BSD",1
"BTC",0.004122054
"BTN",66.631983
"BWP",10.519938
"BYR",17763.675
"BZD",1.999463
"CAD",1.32221
"CDF",927.948
"CHF",0.978754
"CLF",0.024602
"CLP",691.231006
"CNY",6.366066
"COP",3132.155
"CRC",536.736
"CUC",1
"CUP",0.999975
"CVE",98.60425572
"CZK",24.20923
"DJF",177.516249
"DKK",6.676082
"DOP",45.08309
"DZD",106.08994
"EEK",14.011975
"EGP",7.827783
"ERN",15.14
"ETB",20.85593
"EUR",0.894248
"FJD",2.139133
"FKP",0.650533
"GBP",0.650533
"GEL",2.379675
"GGP",0.650533
"GHS",3.895007
"GIP",0.650533
"GMD",40.09485
"GNF",7270.552598
"GTQ",7.727804
"GYD",205.916669
"HKD",7.750287
"HNL",21.82102
"HRK",6.762035
"HTG",52.905125
"HUF",280.788102
"IDR",14241.666667
"ILS",3.913304
"IMP",0.650533
"INR",66.4852
"IQD",1172.0275
"IRR",29969.5
"ISK",128.926
"JEP",0.650533
"JMD",117.7208
"JOD",0.709118
"JPY",119.6988
"KES",105.5446
"KGS",66.1411
"KHR",4108.175098
"KMF",440.936352
"KPW",899.91
"KRW",1199.943332
"KWD",0.302154
"KYD",0.825263
"KZT",243.841589
"LAK",8163.935098
"LBP",1511.054984
"LKR",138.200001
"LRD",88.50885
"LSL",13.783575
"LTL",3.042836
"LVL",0.626433
"LYD",1.372683
"MAD",9.734977
"MDL",19.26
"MGA",3176.736699
"MKD",55.23111
"MMK",1081.1081
"MNT",1990.5
"MOP",7.980679
"MRO",319.12625
"MTL",0.683738
"MUR",35.219787
"MVR",15.296683
"MWK",556.083505
"MXN",16.82558
"MYR",4.319319
"MZN",42.5175
"NAD",13.77486
"NGN",199.0843
"NIO",27.25076
"NOK",8.256056
"NPR",106.4118
"NZD",1.576204
"OMR",0.384931
"PAB",1
"PEN",3.222883
"PGK",2.817575
"PHP",46.86448
"PKR",104.2615
"PLN",3.782185
"PYG",5402.191732
"QAR",3.640783
"RON",3.958868
"RSD",107.646839
"RUB",68.119809
"RWF",712.263754
"SAR",3.749762
"SBD",7.969431
"SCR",13.13078
"SDG",6.09522
"SEK",8.420657
"SGD",1.420019
"SHP",0.650533
"SLL",3744.6255
"SOS",659.365878
"SRD",3.2825
"STD",21931.9
"SVC",8.751424
"SYP",188.751003
"SZL",13.77486
"THB",36.08764
"TJS",6.325
"TMT",3.500567
"TND",1.962087
"TOP",2.19832
"TRY",3.01075
"TTD",6.336893
"TWD",32.63863
"TZS",2165.586667
"UAH",22.15498
"UGX",3666.526667
"USD",1
"UYU",28.65719
"UZS",2603.445039
"VEF",6.319553
"VND",22475.866667
"VUV",108.855
"WST",2.624731
"XAF",587.656919
"XAG",0.0680385
"XAU",0.0008895
"XCD",2.70102
"XDR",0.712213
"XOF",588.057999
"XPD",0.001734
"XPF",106.920738
"XPT",0.001008
"YER",215.086001
"ZAR",13.76812
"ZMK",5253.075255
"ZMW",9.8921
"ZWL",322.38724
